"Data for Figure S5: Comparison between available regulatory POD values (PODreg,BMDh) and estimated PODp05BMDh (A-B), PODp15BMDh (C-D), PODp25BMDh (E-F), PODp35BMDh (G-H), differentiating between general non-cancer effects (left side, n=744) and reproductive/developmental effects (right side, n=41). The black line represents the 1:1 line, while the red line is the best fit. ",,,,,,,,,,,
60207-90-1,-0.126,0.202,0.397,0.553,0.778,,,,,,
60238-56-4,-2.048,-1.714,-1.515,-1.355,-1.145,,,,,,
60-29-7,2.286,2.349,2.387,2.417,2.563,,,,,,
60-34-4,-1.102,-0.767,-0.568,-0.409,-0.437,,,,,,
60-51-5,-1.138,-0.626,-0.321,-0.077,-0.996,,,,,,
60-57-1,-2.708,-2.058,-1.672,-1.363,-2.378,,,,,,
606-20-2,0.153,0.334,0.442,0.529,0.629,,,,,,
608-93-5,-0.527,-0.192,0.007,0.166,0.365,,,,,,
615-45-2,-0.704,-0.369,-0.170,-0.011,0.262,,,,,,
615-50-9,0.051,0.191,0.275,0.342,0.183,,,,,,
615-54-3,-0.323,0.012,0.211,0.370,0.563,,,,,,
616-23-9,0.049,0.383,0.582,0.741,1.040,,,,,,
617-84-5,-0.960,-0.625,-0.426,-0.267,-0.006,,,,,,
62-38-4,-3.027,-2.692,-2.493,-2.334,-2.035,,,,,,
62476-59-9,-0.881,-0.270,0.094,0.384,-0.022,,,,,,
62-53-3,-0.215,0.118,0.316,0.474,0.320,,,,,,
62-73-7,-1.240,-0.701,-0.380,-0.124,-0.991,,,,,,
62-74-8,-2.383,-2.049,-1.850,-1.691,-1.349,,,,,,
630-20-6,1.203,1.279,1.324,1.361,1.514,,,,,,
63-25-2,0.347,0.709,0.924,1.096,1.023,,,,,,
634-93-5,-1.549,-1.215,-1.016,-0.857,-0.149,,,,,,
6369-59-1,-0.704,-0.369,-0.170,-0.011,0.183,,,,,,
64-18-6,1.325,1.660,1.859,2.018,2.395,,,,,,
64359-81-5,0.235,0.570,0.769,0.928,1.224,,,,,,
64742-95-6,-0.299,0.383,0.788,1.112,2.239,,,,,,
64902-72-3,0.653,1.084,1.341,1.546,0.563,,,,,,
65195-55-3,-1.305,-0.970,-0.771,-0.612,-1.098,,,,,,
6-60-7,0.864,1.200,1.400,1.560,1.155,,,,,,
66215-27-8,-0.032,0.388,0.638,0.837,0.874,,,,,,
66230-04-4,-0.246,-0.003,0.142,0.257,0.283,,,,,,
66330-88-9,-1.127,-0.793,-0.594,-0.435,-0.136,,,,,,
66332-96-5,1.036,1.335,1.513,1.655,1.493,,,,,,
66841-25-6,-0.599,-0.324,-0.160,-0.029,-0.261,,,,,,
67485-29-4,-0.349,-0.140,-0.015,0.084,-0.057,,,,,,
67564-91-4,-0.879,-0.410,-0.132,0.091,0.543,,,,,,
67-63-0,0.971,1.306,1.505,1.664,1.833,,,,,,
67-64-1,1.941,2.197,2.349,2.471,2.995,,,,,,
67-66-3,0.195,0.429,0.568,0.680,0.933,,,,,,
67-72-1,-0.830,-0.495,-0.296,-0.137,-0.035,,,,,,
67747-09-5,-0.181,0.114,0.290,0.430,0.323,,,,,,
680-31-9,-0.932,-0.598,-0.399,-0.240,0.120,,,,,,
68085-85-8,-0.789,-0.399,-0.167,0.019,-0.492,,,,,,
68-12-2,1.373,1.492,1.563,1.620,1.799,,,,,,
68157-60-8,0.373,0.736,0.952,1.125,0.797,,,,,,
68333-79-9,1.584,1.918,2.117,2.276,2.729,,,,,,
68359-37-5,0.093,0.352,0.506,0.629,0.493,,,,,,
68424-85-1,0.453,0.788,0.987,1.146,1.508,,,,,,
68584-22-5,0.993,1.328,1.527,1.686,1.676,,,,,,
68694-11-1,-0.095,0.294,0.525,0.710,0.107,,,,,,
69327-76-0,-0.449,0.019,0.297,0.520,0.040,,,,,,
69409-94-5,-0.775,-0.413,-0.197,-0.025,-0.148,,,,,,
69806-40-2,-3.252,-2.918,-2.719,-2.560,-2.437,,,,,,
69806-50-4,-0.927,-0.438,-0.148,0.084,-0.266,,,,,,
70-30-4,-1.109,-0.774,-0.575,-0.416,-0.116,,,,,,
70630-17-0,0.184,0.518,0.718,0.877,1.179,,,,,,
709-98-8,0.193,0.335,0.420,0.488,0.456,,,,,,
71-36-3,1.113,1.440,1.635,1.791,2.137,,,,,,
71-55-6,2.110,2.403,2.577,2.717,3.120,,,,,,
7173-51-5,0.584,0.821,0.961,1.073,1.398,,,,,,
72-20-8,-1.600,-1.267,-1.068,-0.910,-1.116,,,,,,
72-54-8,-0.600,-0.265,-0.066,0.093,-1.960,,,,,,
72-55-9,0.516,0.856,1.058,1.220,-0.613,,,,,,
7287-19-6,0.681,0.899,1.028,1.132,1.060,,,,,,
731-27-1,0.310,0.644,0.844,1.003,0.850,,,,,,
732-11-6,-0.875,-0.569,-0.388,-0.242,0.201,,,,,,
74051-80-2,0.600,0.859,1.013,1.137,1.139,,,,,,
74115-24-5,-0.366,0.143,0.445,0.687,0.473,,,,,,
741-58-2,-0.638,-0.169,0.110,0.332,0.009,,,,,,
74222-97-2,0.933,1.267,1.466,1.625,1.749,,,,,,
74223-64-6,0.897,1.158,1.313,1.437,1.306,,,,,,
74-31-7,-1.625,-1.290,-1.091,-0.932,-0.960,,,,,,
7439-96-5,-0.617,-0.283,-0.084,0.075,-0.289,,,,,,
7439-98-7,-0.630,-0.296,-0.097,0.062,-0.854,,,,,,
7440-02-0,-0.340,-0.006,0.193,0.352,0.563,,,,,,
7440-22-4,-1.339,-0.535,-0.056,0.326,-1.766,,,,,,
7440-24-6,1.385,1.720,1.919,2.078,2.231,,,,,,
7440-36-0,-1.931,-1.596,-1.397,-1.238,-1.129,,,,,,
7440-38-2,-3.717,-3.382,-3.183,-3.024,-2.444,,,,,,
7440-39-3,0.676,1.010,1.209,1.369,1.825,,,,,,
7440-41-7,-0.861,-0.526,-0.327,-0.168,0.211,,,,,,
7440-43-9,-2.401,-1.828,-1.488,-1.215,-1.673,,,,,,
7440-66-6,-0.375,-0.040,0.159,0.318,-0.041,,,,,,
74612-12-7,-0.704,-0.369,-0.170,-0.011,0.262,,,,,,
74-83-9,-0.981,-0.632,-0.425,-0.259,0.187,,,,,,
7487-94-7,-1.125,-0.753,-0.532,-0.355,-0.936,,,,,,
74-90-8,-0.155,0.179,0.378,0.537,0.143,,,,,,
75-01-4,-1.686,-1.119,-0.782,-0.513,-0.954,,,,,,
75-09-2,-0.018,0.487,0.787,1.026,-0.618,,,,,,
75-25-2,0.168,0.522,0.733,0.901,1.293,,,,,,
75-27-4,0.014,0.387,0.609,0.786,0.739,,,,,,
75-34-3,1.806,2.140,2.339,2.498,2.718,,,,,,
75-35-4,0.304,0.531,0.666,0.774,0.642,,,,,,
7553-56-2,-2.340,-2.005,-1.806,-1.647,-1.347,,,,,,
75-56-9,0.086,0.421,0.620,0.779,0.249,,,,,,
75-60-5,-1.349,-0.615,-0.177,0.172,0.281,,,,,,
756-79-6,1.474,1.821,2.028,2.193,1.106,,,,,,
75-69-4,0.675,1.010,1.209,1.368,2.011,,,,,,
75-71-8,0.099,0.434,0.633,0.792,1.040,,,,,,
75-86-5,-0.301,0.034,0.233,0.392,0.505,,,,,,
75-99-0,-0.060,0.275,0.474,0.633,0.791,,,,,,
759-94-4,0.002,0.392,0.624,0.809,0.501,,,,,,
76-01-7,-0.748,-0.413,-0.214,-0.055,0.079,,,,,,
76-03-9,0.719,1.035,1.223,1.373,1.281,,,,,,
76-44-8,-1.479,-1.040,-0.779,-0.571,-0.960,,,,,,
76578-14-8,-0.546,-0.294,-0.144,-0.025,-0.049,,,,,,
7664-38-2,1.673,2.008,2.207,2.366,2.729,,,,,,
76674-21-0,-0.056,0.278,0.477,0.636,1.075,,,,,,
76703-62-3,-1.144,-0.809,-0.610,-0.451,-0.514,,,,,,
76738-62-0,0.433,0.675,0.818,0.933,0.961,,,,,,
77182-82-2,0.128,0.562,0.820,1.026,0.098,,,,,,
7722-76-1,1.410,1.744,1.943,2.102,2.729,,,,,,
7723-14-0,-3.771,-2.370,-1.537,-0.871,-2.022,,,,,,
77-47-4,0.609,0.817,0.940,1.039,0.881,,,,,,
77501-63-4,-0.859,-0.453,-0.211,-0.018,-0.011,,,,,,
7773-06-0,1.292,1.626,1.825,1.984,2.195,,,,,,
77-73-6,0.060,0.395,0.594,0.753,1.237,,,,,,
7782-41-4,-1.765,-1.431,-1.232,-1.073,-0.657,,,,,,
7782-49-2,-2.043,-1.708,-1.509,-1.350,-1.171,,,,,,
7782-50-5,0.405,0.654,0.802,0.921,1.111,,,,,,
7783-00-8,-2.043,-1.708,-1.509,-1.350,-1.171,,,,,,
7783-28-0,1.869,2.203,2.402,2.562,2.729,,,,,,
7786-34-7,-1.959,-1.624,-1.425,-1.266,-1.650,,,,,,
7790-98-9,-1.283,-0.948,-0.749,-0.590,-1.590,,,,,,
78-00-2,-3.397,-3.063,-2.864,-2.705,-3.358,,,,,,
7803-51-2,-2.303,-1.969,-1.770,-1.611,-1.721,,,,,,
78-11-5,0.412,1.180,1.636,2.001,0.692,,,,,,
78-42-2,1.123,1.548,1.800,2.002,2.039,,,,,,
78-48-8,-1.478,-1.064,-0.818,-0.621,-0.936,,,,,,
78587-05-0,0.251,0.594,0.799,0.962,0.796,,,,,,
78-59-1,1.302,1.569,1.728,1.854,1.891,,,,,,
78-83-1,2.072,2.246,2.349,2.432,2.540,,,,,,
78-87-5,0.799,1.077,1.242,1.374,0.915,,,,,,
79-00-5,-0.261,0.192,0.462,0.677,0.378,,,,,,
79-01-6,-0.585,-0.251,-0.051,0.108,-1.521,,,,,,
79-06-1,-1.407,-1.007,-0.769,-0.580,-0.985,,,,,,
79-11-8,0.460,0.769,0.954,1.101,1.040,,,,,,
791-28-6,0.088,0.493,0.733,0.926,1.532,,,,,,
79-20-9,1.990,2.325,2.524,2.683,2.685,,,,,,
79241-46-6,-1.099,-0.545,-0.215,0.048,-0.266,,,,,,
79277-27-3,-0.741,-0.406,-0.207,-0.048,0.114,,,,,,
79-34-5,0.597,0.860,1.016,1.141,1.040,,,,,,
79-43-6,0.158,0.509,0.717,0.884,0.916,,,,,,
79-57-2,-1.808,-1.473,-1.274,-1.115,-0.903,,,,,,
79622-59-6,-0.733,-0.194,0.127,0.383,-0.040,,,,,,
79983-71-4,-0.201,0.067,0.226,0.353,0.699,,,,,,
8001-35-2,0.237,0.571,0.770,0.930,-1.933,,,,,,
8003-34-7,-0.281,0.053,0.252,0.411,0.681,,,,,,
80-05-7,0.085,0.534,0.801,1.015,1.086,,,,,,
80-07-9,-0.439,-0.197,-0.053,0.061,0.001,,,,,,
8012-95-1,2.159,2.493,2.692,2.851,3.593,,,,,,
8017-16-1,1.674,1.914,2.057,2.171,2.729,,,,,,
8018-01-7,0.512,0.999,1.289,1.520,0.581,,,,,,
80-62-6,1.128,1.483,1.695,1.864,2.086,,,,,,
8065-48-3,-2.826,-2.492,-2.293,-2.134,-1.923,,,,,,
80844-07-1,-0.169,0.324,0.617,0.851,0.433,,,,,,
81334-34-1,2.248,2.389,2.472,2.539,2.796,,,,,,
81335-37-7,1.393,1.593,1.712,1.807,1.781,,,,,,
81335-46-8,0.891,1.226,1.425,1.584,1.752,,,,,,
81335-77-5,1.599,1.844,1.989,2.106,1.708,,,,,,
81406-37-3,1.049,1.383,1.582,1.741,2.040,,,,,,
81591-81-3,0.891,1.226,1.425,1.584,1.884,,,,,,
81777-89-1,1.022,1.401,1.627,1.807,1.879,,,,,,
81-81-2,-2.966,-2.631,-2.432,-2.273,-1.538,,,,,,
82097-50-5,-0.688,-0.180,0.122,0.364,0.042,,,,,,
823-40-5,1.075,1.198,1.271,1.329,1.350,,,,,,
82558-50-7,0.177,0.804,1.178,1.476,0.563,,,,,,
82657-04-3,-0.049,0.150,0.268,0.362,0.618,,,,,,
82-68-8,-0.380,0.255,0.633,0.935,0.171,,,,,,
83055-99-6,1.287,1.487,1.606,1.701,1.667,,,,,,
83-32-9,1.174,1.508,1.707,1.867,2.206,,,,,,
834-12-8,0.404,0.687,0.856,0.990,1.115,,,,,,
83601-83-6,-0.419,-0.084,0.115,0.274,0.486,,,,,,
83-79-4,-1.146,-0.458,-0.048,0.279,-0.515,,,,,,
84087-01-4,0.846,1.217,1.438,1.615,1.449,,,,,,
84-65-1,-0.162,0.214,0.439,0.618,0.243,,,,,,
84-66-2,-0.387,0.476,0.989,1.399,2.739,,,,,,
84-72-0,1.447,1.781,1.980,2.139,2.120,,,,,,
84-74-2,1.592,1.800,1.923,2.022,1.660,,,,,,
85-00-7,-1.183,-0.792,-0.559,-0.373,-0.379,,,,,,
85-44-9,2.183,2.348,2.446,2.525,2.680,,,,,,
85509-19-9,-0.605,-0.327,-0.162,-0.030,-0.213,,,,,,
85-68-7,1.696,1.893,2.010,2.104,1.743,,,,,,
85-70-1,2.049,2.383,2.582,2.741,2.952,,,,,,
86209-51-0,0.906,1.195,1.366,1.504,1.813,,,,,,
86-50-0,-0.989,-0.681,-0.498,-0.352,-0.321,,,,,,
86-73-7,1.055,1.390,1.589,1.748,1.884,,,,,,
87392-12-9,0.810,1.021,1.147,1.247,1.297,,,,,,
87546-18-7,0.934,1.324,1.555,1.741,2.310,,,,,,
87-61-6,-0.130,0.205,0.404,0.563,0.839,,,,,,
87-68-3,-2.020,-1.685,-1.486,-1.327,-0.975,,,,,,
87820-88-0,-0.371,0.194,0.530,0.799,0.097,,,,,,
87-82-1,-0.650,-0.316,-0.117,0.042,0.165,,,,,,
87-84-3,0.363,0.697,0.896,1.055,1.139,,,,,,
87-86-5,-0.143,0.037,0.144,0.229,-0.032,,,,,,
886-50-0,-1.951,-1.617,-1.418,-1.259,-1.136,,,,,,
88671-89-0,-0.033,0.353,0.583,0.767,0.437,,,,,,
88-72-2,-0.426,0.086,0.391,0.635,0.037,,,,,,
88-73-3,-1.120,-0.651,-0.373,-0.150,-0.036,,,,,,
88-74-4,0.323,0.658,0.857,1.016,1.890,,,,,,
9004-70-0,3.241,3.576,3.775,3.934,4.327,,,,,,
9006-42-2,-0.836,-0.331,-0.031,0.208,-0.446,,,,,,
90-12-0,0.318,0.653,0.852,1.011,1.080,,,,,,
90-98-2,0.883,1.217,1.417,1.576,1.887,,,,,,
90982-32-4,0.368,0.703,0.902,1.061,1.188,,,,,,
91-20-3,1.061,1.282,1.413,1.518,1.790,,,,,,
91465-08-6,-0.776,-0.372,-0.131,0.061,-0.514,,,,,,
91-53-2,0.247,0.471,0.605,0.712,0.699,,,,,,
91-57-6,-0.251,0.084,0.283,0.442,0.599,,,,,,
91-58-7,1.186,1.521,1.720,1.879,2.302,,,,,,
92-52-4,1.093,1.427,1.626,1.786,0.865,,,,,,
92-84-2,-0.534,-0.199,0.000,0.159,0.511,,,,,,
92-87-5,-1.185,-0.850,-0.651,-0.492,-0.083,,,,,,
93-65-2,-0.631,-0.296,-0.097,0.062,0.341,,,,,,
93-72-1,-0.721,-0.386,-0.187,-0.028,0.361,,,,,,
93-76-5,-0.322,0.121,0.385,0.596,0.191,,,,,,
94125-34-5,-0.047,0.333,0.559,0.739,1.078,,,,,,
94361-06-5,-0.363,-0.029,0.170,0.329,0.398,,,,,,
944-22-9,-1.354,-1.019,-0.820,-0.661,-0.330,,,,,,
94-74-6,-0.650,-0.252,-0.016,0.173,-0.065,,,,,,
94-75-7,-0.051,0.308,0.522,0.693,0.236,,,,,,
94-81-5,-0.121,0.214,0.413,0.572,1.152,,,,,,
94-82-6,0.280,0.549,0.709,0.837,0.724,,,,,,
950-10-7,-2.041,-1.706,-1.507,-1.348,-1.181,,,,,,
950-37-8,-1.082,-0.747,-0.548,-0.389,-0.543,,,,,,
95465-99-9,-2.773,-2.438,-2.239,-2.080,-2.690,,,,,,
95-47-6,1.309,1.507,1.624,1.718,1.967,,,,,,
95-48-7,0.949,1.274,1.467,1.621,1.651,,,,,,
95-49-8,0.686,0.966,1.132,1.265,1.165,,,,,,
95-50-1,0.895,1.126,1.263,1.372,1.772,,,,,,
95-53-4,0.749,1.084,1.283,1.442,0.756,,,,,,
95-54-5,0.284,0.619,0.818,0.977,0.079,,,,,,
95-55-6,-0.059,0.275,0.474,0.633,1.120,,,,,,
95-65-8,-0.886,-0.551,-0.352,-0.193,0.116,,,,,,
95-68-1,-0.176,0.158,0.357,0.516,0.642,,,,,,
95-69-2,1.032,1.367,1.566,1.725,0.442,,,,,,
95-70-5,-0.629,-0.294,-0.095,0.064,0.689,,,,,,
95737-68-1,0.679,1.019,1.222,1.383,1.410,,,,,,
957-51-7,-0.178,0.157,0.356,0.515,0.875,,,,,,
95-94-3,-1.275,-0.692,-0.345,-0.068,-0.428,,,,,,
95-95-4,1.684,1.893,2.017,2.116,2.040,,,,,,
961-11-5,-0.157,0.400,0.732,0.996,0.760,,,,,,
96-12-8,-0.581,-0.141,0.121,0.330,-0.234,,,,,,
96182-53-5,-1.902,-1.446,-1.174,-0.957,-1.389,,,,,,
96-18-4,-1.247,-0.600,-0.215,0.092,-0.094,,,,,,
96-19-5,0.337,0.672,0.871,1.030,1.518,,,,,,
96-45-7,-0.734,-0.083,0.304,0.614,-1.039,,,,,,
96489-71-3,-0.596,-0.360,-0.220,-0.108,-0.380,,,,,,
96-91-3,-1.349,-1.015,-0.816,-0.656,0.255,,,,,,
97-63-2,0.345,0.679,0.879,1.038,0.739,,,,,,
98-01-1,0.542,0.783,0.927,1.041,0.461,,,,,,
98-06-6,0.940,1.274,1.473,1.632,1.906,,,,,,
98-56-6,0.599,0.744,0.831,0.900,0.809,,,,,,
98-66-8,1.534,1.868,2.067,2.226,2.588,,,,,,
98-82-8,1.184,1.519,1.718,1.877,2.082,,,,,,
98-86-2,1.376,1.702,1.896,2.051,2.579,,,,,,
98886-44-3,-2.194,-1.661,-1.343,-1.090,-1.349,,,,,,
98-95-3,-0.107,0.034,0.118,0.185,0.120,,,,,,
98967-40-9,2.084,2.226,2.310,2.378,2.486,,,,,,
99-08-1,-0.482,0.079,0.413,0.680,0.144,,,,,,
99129-21-2,0.013,0.365,0.575,0.742,0.310,,,,,,
993-13-5,1.211,1.545,1.745,1.904,1.339,,,,,,
99-35-4,-0.613,-0.279,-0.080,0.080,0.381,,,,,,
99-55-8,0.013,0.453,0.714,0.923,1.341,,,,,,
99-65-0,-1.320,-0.986,-0.787,-0.628,-0.534,,,,,,
999-81-5,0.048,0.382,0.581,0.740,1.097,,,,,,
99-99-0,-0.133,0.551,0.957,1.282,0.144,,,,,,
96-12-8,-0.534,-0.260,-0.097,0.033,-0.214,,,,,,
